I Träger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IPE,,,,,,,,,,,,,,,,,,,Knicklinie,,,,,,,,,,,
,h,b,s,t,r,h-2c,A,G,U,Sy,Jy,Wy,iy,Jz,Wz,iz,"Mpl,y,d","Npl,x,d","Vpl,z,d",Y-y,Z-z,,,,,,,,,,Berechnung Abminderungsfaktor ?
"KFH139,7 / 6,3","139,7",,"6,3",,,,"26,4",,,,589,"84,3",4.72,589,"84,3",4.72,,,,c,c,,,,,,,,,,
"KFH139,7 / 8,0","139,7",,"8,0",,,,"33,1",,,,720,103,4.66,720,103,4.66,,,,c,c,,,,,,,,,,
"KFH139,7 / 10,0","139,7",,"10,0",,,,"40,7",,,,862,123,4.6,862,123,4.6,,,,c,c,,,,,,,,,,
"KFH168,3 / 5,0","168,3",,"5,0",,,,"25,7",,,,856,102,5.78,856,102,5.78,,,,c,c,,,,,,,,,,
"KFH168,3 / 6,3","168,3",,"6,3",,,,"32,1",,,,1053,125,5.73,1053,125,5.73,,,,c,c,,,,,,,,,,
"KFH168,3 / 8,0","168,3",,"8,0",,,,"40,3",,,,1297,154,5.67,1297,154,5.67,,,,c,c,,,,,,,,,,
"KFH168,3 / 10,0","168,3",,"10,0",,,,"49,7",,,,1564,186,5.61,1564,186,5.61,,,,c,c,,,,,,,,,,
"KFH193,7 / 5,0","193,7",,"5,0",,,,"29,6",,,,1320,136,6.67,1320,136,6.67,,,,c,c,,,,,,,,,,
"KFH193,7 / 6,3","193,7",,"6,3",,,,"37,1",,,,1630,168,6.63,1630,168,6.63,,,,c,c,,,,,,,,,,
"KFH193,7 / 8,0","193,7",,"8,0",,,,"46,7",,,,2016,208,6.57,2016,208,6.57,,,,c,c,,,,,,,,,,
"KFH193,7 / 10,0","193,7",,"10,0",,,,"57,7",,,,2442,252,6.5,2442,252,6.5,,,,c,c,,,,,,,,,,
"KFH193,7 / 12,5","193,7",,"12,5",,,,"71,2",,,,2934,303,6.42,2934,303,6.42,,,,c,c,,,,,,,,,,
"KFH193,7 / 16,0","193,7",,"16,0",,,,"89,3",,,,3554,367,6.31,3554,367,6.31,,,,c,c,,,,,,,,,,
"KFH219,1 / 5,0","219,1",,"5,0",,,,"33,6",,,,1928,176,7.57,1928,176,7.57,,,,c,c,,,,,,,,,,
"KFH219,1 / 6,3","219,1",,"6,3",,,,"42,1",,,,2386,218,7.53,2386,218,7.53,,,,c,c,,,,,,,,,,
"KFH219,1 / 8,0","219,1",,"8,0",,,,"53,1",,,,2960,270,7.47,2960,270,7.47,,,,c,c,,,,,,,,,,
"KFH219,1 / 10,0","219,1",,"10,0",,,,"65,7",,,,3598,328,7.4,3598,328,7.4,,,,c,c,,,,,,,,,,
"KFH219,1 / 12,5","219,1",,"12,5",,,,"81,1",,,,4345,397,7.32,4345,397,7.32,,,,c,c,,,,,,,,,,
"KFH219,1 / 16,0","219,1",,"16,0",,,,102,,,,5297,483,7.2,5297,483,7.2,,,,c,c,,,,,,,,,,
"KFH219,1 / 20,0","219,1",,"20,0",,,,125,,,,6261,572,7.07,6261,572,7.07,,,,c,c,,,,,,,,,,
"KFH244,5 / 6,3","244,5",,"6,3",,,,"47,1",,,,3346,274,8.42,3346,274,8.42,,,,c,c,,,,,,,,,,
"KFH244,5 / 8,0","244,5",,"8,0",,,,"59,4",,,,4160,340,8.37,4160,340,8.37,,,,c,c,,,,,,,,,,
"KFH244,5 / 10,0","244,5",,"10,0",,,,"73,7",,,,5073,415,8.3,5073,415,8.3,,,,c,c,,,,,,,,,,
"KFH244,5 / 12,5","244,5",,"12,5",,,,"91,1",,,,6147,503,8.21,6147,503,8.21,,,,c,c,,,,,,,,,,
